Role,Company,Skills,Cleaned_Skills
Stellar AI Senior Software Engineer {,Stellar AI,train,
BIS Safety Software Marketing Copywriter [,BIS Safety Software,"copywriter, saas, system","copywriter, saas"
Marketers in Demand Web Development Specialist [,Marketers in Demand,web developer,web developer
Sanctuary Computer Senior Frontend Developer [,Sanctuary Computer,"engineer, senior, front end",front end
Veeam Software Sr Account Executive Commercial Accounts [,Veeam Software,"security, leader, go","security, go"
Lemon.io Senior Full stack React Developer {,Lemon.io,"javascript, react, node","javascript, react, node"
Octo Horizon Software Engineer C [,Octo Horizon,"engineer, technical, cloud","technical, cloud"
Sticker Mule Software engineer [,Sticker Mule,"engineer, docker, redis","docker, redis"
Headway Senior React Native Developer {,Headway,"engineer, mobile, javascript","mobile, javascript"
Veeam Software Senior Sales Systems Engineer [,Veeam Software,"security, technical, leader","security, technical"
Veeam Software Senior Sales Engineer Data & AI Security [,Veeam Software,"security, leader, senior",security
Veeam Software Sales Systems Engineer [,Veeam Software,"technical, leader, sales","technical, sales"
Veeam Software Product & Application Security Engineer [,Veeam Software,"security, leader, senior",security
Lucid Software Regulatory & Product Counsel [,Lucid Software,"software, cloud, leader","software, cloud"
Veeam Software Senior Director Customer Success Product Portfolio Management [,Veeam Software,"director, leader, management","director, management"
Veeam Software Senior Staff Platform Engineer [,Veeam Software,"design, cloud, microsoft","design, cloud, microsoft"
Veeam Software Senior Solution Architect GSI [,Veeam Software,"architect, leader, senior",architect
Veeam Software ML AI Ops Engineer [,Veeam Software,"leader, go, engineer",go
Veeam Software Senior Data Science Engineer [,Veeam Software,"leader, senior, go",go
Veeam Software Lead Account Executive Enterprise Sales [,Veeam Software,"leader, lead, sales",sales
Veeam Software Senior Systems Engineer [,Veeam Software,"leader, senior, sales",sales
Banyan Software Director of Payments U.S. Canada [,Banyan Software,"director, design, embedded","director, design, embedded"
Veeam Software Global Compensation COE Director [,Veeam Software,"director, leader, go","director, go"
Veeam Software Inside Partner Manager EST [,Veeam Software,"manager, leader, go",go
Veeam Software Strategic Account Manager [,Veeam Software,"manager, leader, go",go
Housecall Pro Senior Staff Ruby on Rails Engineer [,Housecall Pro,"ruby, backend","ruby, backend"
Cloak Aztec smart contracts and Javascript front end dev [,Cloak,engineer,
NTD software FullStack Engineer [,NTD software,"design, react, front end","design, react, front end"
CSC Generation Lead Software Engineer [,CSC Generation,"software, design, django","software, design, django"
Civitech Analytics Engineer [,Civitech,"support, code, cloud","support, code, cloud"
Valon Mortgage Senior Data Engineer [,Valon Mortgage,"design, saas, architect","design, saas, architect"
Extend Principal Data Engineer [,Extend,"design, technical, financial","design, technical, financial"
Invisible Agency 3D Modeling & Python Specialist Freelance AI Trainer Project [,Invisible Agency,"3d, trainer, training","3d, trainer, training"
"Chime Financial, Inc Data Governance Engineer [","Chime Financial, Inc","technical, developer, code","technical, code"
Affirm Software Engineer II Backend [,Affirm,"software, design, technical","software, design, technical"
Pivotal Health Data Engineer [,Pivotal Health,"design, salesforce, technical","design, salesforce, technical"
Amigo Applied AI Engineer Europe [,Amigo,"system, technical, support","technical, support"
Foundation EGI Senior CAD Backend Engineer Mechanical CAD Automation [,Foundation EGI,"design, 3d, senior","design, 3d"
Junction Data Scientist [,Junction,"technical, cloud, management","technical, cloud, management"
Patreon Software Engineer Identity & Access [,Patreon,"software, security, support","software, security, support"
Smile Digital Health Technical Implementations Lead US [,Smile Digital Health,"system, security, technical","security, technical"
Eleks Banking Full Stack Software Developer TSCM 43657 [,Eleks,"developer, software, security","software, security"
TrueML Engineering Manager Data Platform [,TrueML,"manager, design, system",design
Anyone AI Biology AI Training Expert [,Anyone AI,"training, technical, biology","training, technical, biology"
World Golf Tour (WGT) Data Analyst [,World Golf Tour (WGT),"analyst, security, game","analyst, security, game"
Fullscript Staff Machine Learning Engineer [,Fullscript,"design, system, technical","design, technical"
Arbiter AI Senior Backend Engineer Integrations [,Arbiter AI,"design, system, technical","design, technical"
NerdWallet Security Engineer II Canada [,NerdWallet,"security, design, support","security, design, support"
SentiLink Solutions Analytics Data Scientist [,SentiLink,"technical, support, financial","technical, support, financial"
2K Rigging Technical Artist NBA 2K [,2K,"game, technical, support","game, technical, support"
GHX Senior Software Engineer Python Django PostgreSQL and Vue.js [,GHX,"django, software, design","django, software, design"
ChowNow Senior DevOps Engineer [,ChowNow,"design, ansible, security","design, ansible, security"
AutoDS Backend Developer [,AutoDS,"developer, back-end, reliability","back-end, reliability"
Tenstorrent Staff Engineer Software Release and Packaging RISC V [,Tenstorrent,"software, system, engineer",software
Anduril Industries Early Career Software Engineer Warfighter Systems [,Anduril Industries,"software, system, security","software, security"
ComputerCare Data Analyst II [,ComputerCare,"analyst, system, technical","analyst, technical"
Solera Health Data Scientist [,Solera Health,"design, support, medical","design, support, medical"
Magic Media C++ Developer [,Magic Media,"developer, vfx, training","vfx, training"
Swayable Research Data Scientist [,Swayable,"growth, director, strategy","growth, director, strategy"
itD Tech Software Engineer [,itD Tech,"software, design, training","software, design, training"
Viseven Prompt Engineer [,Viseven,"back-end, engineer, engineering","back-end, engineering"
Oowlish Technology Senior Data Engineer [,Oowlish Technology,"support, software, growth","support, software, growth"
Gametime United Data Science Intern Pricing Analytics [,Gametime United,"support, test, web","support, test, web"
Oowlish Technology Big Data Engineer [,Oowlish Technology,"support, software, growth","support, software, growth"
SkySlope Data Analyst 3 [,SkySlope,"analyst, salesforce, technical","analyst, salesforce, technical"
Postscript GTM Automation Engineer [,Postscript,"design, jira, salesforce","design, jira, salesforce"
Banco BV Pessoa Engenheira de Machine Learning Senior [,Banco BV,"senior, engineering",engineering
Restaurant365 Data Analyst [,Restaurant365,"analyst, saas, technical","analyst, saas, technical"
Big Health Product Data Analyst [,Big Health,"analyst, supervisor, support","analyst, supervisor, support"
Bloomreach Senior Python Software Engineer [,Bloomreach,"software, test, growth","software, test, growth"
Ren Software Engineer [,Ren,"software, design, training","software, design, training"
Kraken Senior Machine Learning Engineer AI Foundry [,Kraken,"system, docker, support","docker, support"
ZenBusiness Inc. Senior Software Engineer [,ZenBusiness Inc.,"software, react, front end","software, react, front end"
Point72 Site Reliability Engineer [,Point72,"design, system, security","design, security"
Linus Health Site Reliability Engineer [,Linus Health,"system, security, growth","security, growth"
2100 NVIDIA USA Principal Software Engineer Dynamo [,2100 NVIDIA USA,"software, design, system","software, design"
Satelligence Junior Data Engineer [,Satelligence,"design, django, technical","design, django, technical"
Maidel Group Crypto Trader [,Maidel Group,"other, analyst, mobile","other, analyst, mobile"
singularads.com Meta Ads Manager + Creative Producer AI Native [,singularads.com,"marketing, ads, ai","marketing, ads, ai"
Stone Engenharia Software Engineer III Golang [,Stone,"software, golang, engineer","software, golang"
Firework Director Enterprise Sales [,Firework,"director, saas, technical","director, saas, technical"
DoorDash USA Recruiter GTM Sales [,DoorDash USA,"design, recruiter, support","design, recruiter, support"
Wealthsimple Technologies Senior AI System Software Developer [,Wealthsimple Technologies,"system, developer, software",software
Omnicom Health Senior Medical Editor [,Omnicom Health,"management, senior, junior",management
"AffirmedRx, PBC Pricing Manager [","AffirmedRx, PBC","manager, support, financial","support, financial"
Beale Infrastructure Director of Market Development [,Beale Infrastructure,"director, support, strategy","director, support, strategy"
Care Access Digital Marketing Manager [,Care Access,"manager, growth, mobile","growth, mobile"
Phaidra Senior Software Engineer [,Phaidra,"software, senior, operational","software, operational"
Welo Global Language Quality Manager [,Welo Global,"manager, jira, saas","jira, saas"
"Contact Government Services, LLC Contract Mandarin Document Review Attorney [","Contact Government Services, LLC","support, analyst, legal","support, analyst, legal"
JetBrains .NET Developer Advocate [,JetBrains,"developer, front end, software","front end, software"
Genomenon Clinical Marketing Director [,Genomenon,"director, support, marketing","director, support, marketing"
TTEC Digital Tier II III UC Support Engineer [,TTEC Digital,"system, technical, support","technical, support"
"Deep Fission, Inc Nuclear Engineer III Nuclear Safety Analysis [","Deep Fission, Inc","support, growth, engineer","support, growth"
"Deep Fission, Inc Senior Director Nuclear Programs [","Deep Fission, Inc","director, system, growth","director, growth"
uConnect VP of Product and Partnerships [,uConnect,"design, saas, students","design, saas, students"
Varicent Technical Solutions Analyst [,Varicent,"analyst, design, saas","analyst, design, saas"
Covera Health VP Population Health [,Covera Health,"system, support, growth","support, growth"
Smartbug Media/Point Sucess/Globalia Freelance SEO AEO Strategist [,Smartbug Media/Point Sucess/Globalia,"technical, strategist, web","technical, strategist, web"
Emora Health Operations and Support Associate [,Emora Health,"system, support, growth","support, growth"
GiddyUp Performance Marketing Manager [,GiddyUp,"manager, support, testing","support, testing"
Natera Manager Platform Engineering [,Natera,"manager, technical, support","technical, support"
EnableComp Vice President DRG [,EnableComp,"training, support, growth","training, support, growth"
Wishpond Technologies CUSTOMER SUCCESS MANAGER [,Wishpond Technologies,"manager, design, saas","design, saas"
Calyxo Academic Engagement Manager USA [,Calyxo,"manager, training, director","training, director"
Brandtech+ Project Manager French English Fluent [,Brandtech+,manager,
Careers In Travel | Destination Planners Destination Coordinator [,Careers In Travel | Destination Planners,"travel, coordinator, support","travel, coordinator, support"
Careers In Travel | Destination Planners Travel Support Advisor [,Careers In Travel | Destination Planners,"travel, training, support","travel, training, support"
Careers In Travel | Destination Planners Travel Operations Coordinator [,Careers In Travel | Destination Planners,"travel, training, coordinator","travel, training, coordinator"
Careers In Travel | Destination Planners Travel Appointment Coordinator [,Careers In Travel | Destination Planners,"travel, coordinator, support","travel, coordinator, support"
Careers In Travel | Destination Planners Itinerary Support Coordinator No Experience Needed [,Careers In Travel | Destination Planners,"travel, coordinator, support","travel, coordinator, support"
Unikraft Tooling Engineer [,Unikraft,"golang, cloud, engineer","golang, cloud"
Stellar AI Senior Software Engineer {,Stellar AI,"developer, train",
Precision Medicine Group Senior Marketing Manager CRO Experience Required [,Precision Medicine Group,"manager, design, embedded","design, embedded"
Aisles & Abroad Online Hospitality Services Coordinator Entry Level [,Aisles & Abroad,"coordinator, support","coordinator, support"
Apollo Information Systems Account Executive Southeast [,Apollo Information Systems,"salesforce, security, technical","salesforce, security, technical"
CX2 CNC Machinist Milling [,CX2,"software, growth, assembly","software, growth, assembly"
LiveKit Staff Product Manager Enterprise [,LiveKit,"manager, technical, developer",technical
Boom Entertainment Customer Support Representative [,Boom Entertainment,"gaming, consultant, support","gaming, consultant, support"
CSC Generation Lead Software Engineer [,CSC Generation,"software, design, python","software, design, python"
BIS Safety Software Marketing Copywriter [,BIS Safety Software,"developer, copywriter, saas","copywriter, saas"
"Clariti Cloud, Inc. Senior Software Engineer I [","Clariti Cloud, Inc.","software, saas, salesforce","software, saas, salesforce"
Forbright Bank Manager Collections & Recoveries [,Forbright Bank,"manager, embedded, growth","embedded, growth"
CipherHealth Customer Success Manager [,CipherHealth,"manager, system, consultant",consultant
GoFasti 1086 Digital Marketing Specialist [,GoFasti,"marketing, part-time, non tech","marketing, part-time, non tech"
Forge Global Asset Administration Operations Specialist [,Forge Global,"travel, financial, operations","travel, financial, operations"
Rivia Mind - Mental Healthcare Patient Operations Coordinator [,Rivia Mind - Mental Healthcare,"coordinator, management, operations","coordinator, management, operations"
Spotify Engineering Manager AI Fleet Management & Honk [,Spotify,"manager, design, system",design
Akuity Senior Backend Engineer [,Akuity,"saas, developer, software","saas, software"
HighLevel Software Development Engineer Backend [,HighLevel,"software, saas, system","software, saas"
Higharc Software Engineer Showroom [,Higharc,"software, design, 3d","software, design, 3d"
Black Canyon Consulting Junior Mid Full Stack Software Engineer [,Black Canyon Consulting,"consulting, software, graphql","consulting, software, graphql"
Vistas Recruitment Senior Backend Engineer UK [,Vistas Recruitment,"golang, senior, engineer",golang
Monzo Lead Analytics Engineer Borrowing [,Monzo,"design, architect, support","design, architect, support"
Smart Working Solutions Digital Full Stack Engineer HR172 [,Smart Working Solutions,"design, jira, system","design, jira"
Haast Founding Engineer [,Haast,"front end, full-stack, technical","front end, full-stack, technical"
Paperpile Backend Engineer [,Paperpile,"ops, javascript, typescript","ops, javascript, typescript"
Paperpile Senior Full Stack Engineer [,Paperpile,"senior, front end",front end
Interra Health Senior Software Engineer [,Interra Health,"software, design, saas","software, design, saas"
Honor Foods Front End Full Stack Developer [,Honor Foods,"developer, front-end, ui","front-end, ui"
Calabrio Engineer Software [,Calabrio,"software, design, c#","software, design, c#"
Affirm Software Engineer II Backend [,Affirm,"software, design, python","software, design, python"
Finalis Software Engineer [,Finalis,"software, design, system","software, design"
Pivotal Health Full Stack Product Engineer [,Pivotal Health,"react, system, front end","react, front end"
Envision Horizons LLC Full Stack Developer [,Envision Horizons LLC,"developer, c#, amazon","c#, amazon"
Salesforge Senior Backend Engineer Build AI Agents [,Salesforge,"golang, senior, sales","golang, sales"
CareerVillage.org Frontend Engineer [,CareerVillage.org,"front end, technical, software","front end, technical, software"
Foundation EGI Senior CAD Backend Engineer Mechanical CAD Automation [,Foundation EGI,"design, python, 3d","design, python, 3d"
Mighty Networks Senior Software Engineer Payments & Monetization [,Mighty Networks,"software, front end, full-stack","software, front end, full-stack"
Insider One Senior Software Engineer Golang [,Insider One,"software, design, saas","software, design, saas"
Air Apps Backend Engineer Rome [,Air Apps,"design, graphql, front end","design, graphql, front end"
Clover Health Operations Associate Payment Integrity [,Clover Health,"support, financial, management","support, financial, management"
Ocrolus Inc. Senior Software Engineer App Infra [,Ocrolus Inc.,"software, architect, technical","software, architect, technical"
Yuno Technical Support Analyst [,Yuno,"analyst, system, technical","analyst, technical"
Wingspan Software Engineer Payment Operations [,Wingspan,"software, growth, code","software, growth, code"
"Rebuy, Inc. Sr Software Engineer B E [","Rebuy, Inc.","software, design, jira","software, design, jira"
Xsolla Xsolla Senior Full stack Engineer [,Xsolla,"design, react, system","design, react"
Ternary Staff Software Engineer Full Stack [,Ternary,"software, front-end, technical","software, front-end, technical"
Coderio Senior Backend Engineer MS050KA [,Coderio,"serverless, node. js, api","serverless, node. js, api"
Vistas Recruitment Senior Backend Engineer UK [,Vistas Recruitment,"golang, leader, senior",golang
ClickHouse Senior Backend Engineer HyperDX [,ClickHouse,"developer, cloud, senior",cloud
Sysdig Senior Software Engineer [,Sysdig,"software, design, security","software, design, security"
Fullscript Staff Machine Learning Engineer [,Fullscript,"design, system, python","design, python"
MoonPay Senior Security Engineer Automation [,MoonPay,"security, crypto, system","security, crypto"
Arbiter AI Senior Backend Engineer Integrations [,Arbiter AI,"design, system, python","design, python"
Waymark Principal Data Engineer [,Waymark,"technical, health, healthcare","technical, health, healthcare"
Ubiminds Senior Developer Backend Search CD+E [,Ubiminds,"developer, design, hr","design, hr"
Callibrity Lead Front End Software Engineer [,Callibrity,"software, design, front-end","software, design, front-end"
Zipdev Tech Lead [,Zipdev,"design, system, cto","design, cto"
Legion SaaS Platform Architect [,Legion,"saas, architect, design","saas, architect, design"
Palantir Technologies Software Engineer New Grad Production Infrastructure [,Palantir Technologies,"software, design, front-end","software, design, front-end"
CI&T CI&T 27985 Senior AI Engineer Brazil [,CI&T,"react, system, technical","react, technical"
Pavago Senior Backend Engineer [,Pavago,"design, c#, saas","design, c#, saas"
Pulley Frontend Engineer II Core Product [,Pulley,"front end, design, software","front end, design, software"
Zensurance Tech Lead [,Zensurance,"design, system, front-end","design, front-end"
Paperpile Backend Engineer [,Paperpile,"ops, backend, typescript","ops, backend, typescript"
Lemon.io Senior Full stack React Developer {,Lemon.io,"react, node, python","react, node, python"
Smile Digital Health Technical Implementations Lead US [,Smile Digital Health,"system, security, python","security, python"
Headway Senior React Native Developer {,Headway,"engineer, mobile, react","mobile, react"
Decile Group Front End Engineer [,Decile Group,"design, saas, front-end","design, saas, front-end"
NerdWallet Security Engineer II Canada [,NerdWallet,"security, design, python","security, design, python"
Creative Chaos Senior Software Engineer React [,Creative Chaos,"react, software, design","react, software, design"
Brave Software Engineer UI [,Brave,"software, ui, design","software, ui, design"
CI&T Job 27602 Mid level Developer NodeJS Brazil [,CI&T,"developer, node js, cloud","node js, cloud"
Bluelight Consulting React Native Developer [,Bluelight Consulting,"react, consulting, developer","react, consulting"
Brillio UI Developer R01560583 [,Brillio,"developer, ui, design","ui, design"
Swayable Technical Support Engineer [,Swayable,"python, technical, support","python, technical, support"
Bullish US LLC Senior Lead Designer Web & Interactive [,Bullish US LLC,"web, design, jira","web, design, jira"
ClearScore Technology Limited FrontEnd Engineer [,ClearScore Technology Limited,"front end, react, teach","front end, react, teach"
Equip Health Senior Software Development Engineer DevOps [,Equip Health,"software, react, system","software, react"
Emma – The Sleep Company Software Engineering Intern [,Emma – The Sleep Company,"software, design, support","software, design, support"
Jobgether Senior Software Engineer [,Jobgether,"software, design, system","software, design"
KOHO Junior Software Developer Full Stack [,KOHO,"developer, software, design","software, design"
Sumo Logic Software Engineer I Dev Tooling [,Sumo Logic,"software, design, system","software, design"
"Rebuy, Inc. Overnight Customer Support Engineer [","Rebuy, Inc.","saas, front end, ceo","saas, front end, ceo"
Gurobi Optimization Software Quality Engineer [,Gurobi Optimization,"software, react, front end","software, react, front end"
Tech Innovations Inc. Software Engineer [,Tech Innovations Inc.,"software, testing, cloud","software, testing, cloud"
XKTalent Inc. - Rimutee FRONTEND ANGULAR SYMFONY [,XKTalent Inc. - Rimutee,"front end, web, php","front end, web, php"
Filevine Senior Javascript Fullstack Engineer [,Filevine,"design, system, technical","design, technical"
QuillBot SEO Specialist [,QuillBot,"design, students, technical","design, students, technical"
CI&T Job 25535 Master Fullstack Developer Brazil [,CI&T,"developer, html, node","html, node"
Coins.ph Web Engineer [,Coins.ph,"web, design, crypto","web, design, crypto"
Firework Manager Integration Solutions [,Firework,"manager, saas, consultant","saas, consultant"
Clair Senior Fullstack Engineer [,Clair,"embedded, system, front end","embedded, front end"
Tolt Product Engineer {,Tolt,"typescript, react, product","typescript, react, product"
NTD software FullStack Engineer [,NTD software,"developer, design, react","design, react"
Ibility Integration Test Manager VHA Required [,Ibility,"test, manager, design","test, design"
Lemon.io Senior Full stack React Developer {,Lemon.io,"javascript, node, python","javascript, node, python"
Pivotal Health Full Stack Product Engineer [,Pivotal Health,"system, front end, technical","front end, technical"
Xsolla Xsolla Senior Full stack Engineer [,Xsolla,"design, system, front end","design, front end"
OakNorth Staff Engineer Digital Lending [,OakNorth,"saas, security, technical","saas, security, technical"
CI&T CI&T 27985 Senior AI Engineer Brazil [,CI&T,"system, technical, software","technical, software"
Creative Chaos Senior Software Engineer React [,Creative Chaos,"software, design, jira","software, design, jira"
Pomelo Care Software Engineer [,Pomelo Care,"software, front-end, technical","software, front-end, technical"
