Role,Company,Skills,Skill_Count,Demand_Level
Stellar AI Senior Software Engineer {,Stellar AI,Train,1,Low
BIS Safety Software Marketing Copywriter [,BIS Safety Software,"Copywriter, SaaS, System",3,Low
Marketers in Demand Web Development Specialist [,Marketers in Demand,Web Developer,1,Low
Sanctuary Computer Senior Frontend Developer [,Sanctuary Computer,"Engineer, Senior, Front End",3,Low
Veeam Software Sr Account Executive Commercial Accounts [,Veeam Software,"Security, Leader, Go",3,Low
Lemon.io Senior Full stack React Developer {,Lemon.io,"JavaScript, React, Node",3,Low
Octo Horizon Software Engineer C [,Octo Horizon,"Engineer, Technical, Cloud",3,Low
Sticker Mule Software engineer [,Sticker Mule,"Engineer, Docker, Redis",3,Low
AMK Solutions Senior Full Stack Engineer [,AMK Solutions,,1,Low
Headway Senior React Native Developer {,Headway,"Engineer, Mobile, JavaScript",3,Low
Veeam Software Senior Sales Systems Engineer [,Veeam Software,"Security, Technical, Leader",3,Low
Veeam Software Senior Sales Engineer Data & AI Security [,Veeam Software,"Security, Leader, Senior",3,Low
Veeam Software Sales Systems Engineer [,Veeam Software,"Technical, Leader, Sales",3,Low
Veeam Software Product & Application Security Engineer [,Veeam Software,"Security, Leader, Senior",3,Low
Lucid Software Regulatory & Product Counsel [,Lucid Software,"Software, Cloud, Leader",3,Low
Veeam Software Senior Director Customer Success Product Portfolio Management [,Veeam Software,"Director, Leader, Management",3,Low
Veeam Software Senior Staff Platform Engineer [,Veeam Software,"Design, Cloud, Microsoft",3,Low
Veeam Software Senior Solution Architect GSI [,Veeam Software,"Architect, Leader, Senior",3,Low
Veeam Software ML AI Ops Engineer [,Veeam Software,"Leader, Go, Engineer",3,Low
Veeam Software Senior Data Science Engineer [,Veeam Software,"Leader, Senior, Go",3,Low
Veeam Software Lead Account Executive Enterprise Sales [,Veeam Software,"Leader, Lead, Sales",3,Low
Veeam Software Senior Systems Engineer [,Veeam Software,"Leader, Senior, Sales",3,Low
Banyan Software Director of Payments U.S. Canada [,Banyan Software,"Director, Design, Embedded",3,Low
Veeam Software Global Compensation COE Director [,Veeam Software,"Director, Leader, Go",3,Low
Veeam Software Inside Partner Manager EST [,Veeam Software,"Manager, Leader, Go",3,Low
Veeam Software Strategic Account Manager [,Veeam Software,"Manager, Leader, Go",3,Low
Housecall Pro Senior Staff Ruby on Rails Engineer [,Housecall Pro,"Ruby, Backend",2,Low
Cloak Aztec smart contracts and Javascript front end dev [,Cloak,Engineer,1,Low
NTD software FullStack Engineer [,NTD software,"Design, React, Front End",3,Low
CSC Generation Lead Software Engineer [,CSC Generation,"Software, Design, Django",3,Low
Civitech Analytics Engineer [,Civitech,"Support, Code, Cloud",3,Low
Valon Mortgage Senior Data Engineer [,Valon Mortgage,"Design, SaaS, Architect",3,Low
Extend Principal Data Engineer [,Extend,"Design, Technical, Financial",3,Low
Invisible Agency 3D Modeling & Python Specialist Freelance AI Trainer Project [,Invisible Agency,"3d, Trainer, Training",3,Low
"Chime Financial, Inc Data Governance Engineer [","Chime Financial, Inc","Technical, Developer, Code",3,Low
Affirm Software Engineer II Backend [,Affirm,"Software, Design, Technical",3,Low
Pivotal Health Data Engineer [,Pivotal Health,"Design, Salesforce, Technical",3,Low
Amigo Applied AI Engineer Europe [,Amigo,"System, Technical, Support",3,Low
Foundation EGI Senior CAD Backend Engineer Mechanical CAD Automation [,Foundation EGI,"Design, 3d, Senior",3,Low
Junction Data Scientist [,Junction,"Technical, Cloud, Management",3,Low
Patreon Software Engineer Identity & Access [,Patreon,"Software, Security, Support",3,Low
Smile Digital Health Technical Implementations Lead US [,Smile Digital Health,"System, Security, Technical",3,Low
Eleks Banking Full Stack Software Developer TSCM 43657 [,Eleks,"Developer, Software, Security",3,Low
TrueML Engineering Manager Data Platform [,TrueML,"Manager, Design, System",3,Low
Anyone AI Biology AI Training Expert [,Anyone AI,"Training, Technical, Biology",3,Low
World Golf Tour (WGT) Data Analyst [,World Golf Tour (WGT),"Analyst, Security, Game",3,Low
Fullscript Staff Machine Learning Engineer [,Fullscript,"Design, System, Technical",3,Low
Arbiter AI Senior Backend Engineer Integrations [,Arbiter AI,"Design, System, Technical",3,Low
NerdWallet Security Engineer II Canada [,NerdWallet,"Security, Design, Support",3,Low
SentiLink Solutions Analytics Data Scientist [,SentiLink,"Technical, Support, Financial",3,Low
2K Rigging Technical Artist NBA 2K [,2K,"Game, Technical, Support",3,Low
GHX Senior Software Engineer Python Django PostgreSQL and Vue.js [,GHX,"Django, Software, Design",3,Low
ChowNow Senior DevOps Engineer [,ChowNow,"Design, Ansible, Security",3,Low
AutoDS Backend Developer [,AutoDS,"Developer, Back-End, Reliability",3,Low
Tenstorrent Staff Engineer Software Release and Packaging RISC V [,Tenstorrent,"Software, System, Engineer",3,Low
Anduril Industries Early Career Software Engineer Warfighter Systems [,Anduril Industries,"Software, System, Security",3,Low
ComputerCare Data Analyst II [,ComputerCare,"Analyst, System, Technical",3,Low
Solera Health Data Scientist [,Solera Health,"Design, Support, Medical",3,Low
Magic Media C++ Developer [,Magic Media,"Developer, VFX, Training",3,Low
Swayable Research Data Scientist [,Swayable,"Growth, Director, Strategy",3,Low
itD Tech Software Engineer [,itD Tech,"Software, Design, Training",3,Low
Viseven Prompt Engineer [,Viseven,"Back-End, Engineer, Engineering",3,Low
Oowlish Technology Senior Data Engineer [,Oowlish Technology,"Support, Software, Growth",3,Low
Gametime United Data Science Intern Pricing Analytics [,Gametime United,"Support, Test, Web",3,Low
Oowlish Technology Big Data Engineer [,Oowlish Technology,"Support, Software, Growth",3,Low
SkySlope Data Analyst 3 [,SkySlope,"Analyst, Salesforce, Technical",3,Low
Postscript GTM Automation Engineer [,Postscript,"Design, Jira, Salesforce",3,Low
Banco BV Pessoa Engenheira de Machine Learning Senior [,Banco BV,"Senior, Engineering",2,Low
Restaurant365 Data Analyst [,Restaurant365,"Analyst, SaaS, Technical",3,Low
Big Health Product Data Analyst [,Big Health,"Analyst, Supervisor, Support",3,Low
Bloomreach Senior Python Software Engineer [,Bloomreach,"Software, Test, Growth",3,Low
Ren Software Engineer [,Ren,"Software, Design, Training",3,Low
Kraken Senior Machine Learning Engineer AI Foundry [,Kraken,"System, Docker, Support",3,Low
ZenBusiness Inc. Senior Software Engineer [,ZenBusiness Inc.,"Software, React, Front End",3,Low
Point72 Site Reliability Engineer [,Point72,"Design, System, Security",3,Low
Linus Health Site Reliability Engineer [,Linus Health,"System, Security, Growth",3,Low
2100 NVIDIA USA Principal Software Engineer Dynamo [,2100 NVIDIA USA,"Software, Design, System",3,Low
Satelligence Junior Data Engineer [,Satelligence,"Design, Django, Technical",3,Low
Maidel Group Crypto Trader [,Maidel Group,"Other, Analyst, Mobile",3,Low
singularads.com Meta Ads Manager + Creative Producer AI Native [,singularads.com,"Marketing, Ads, AI",3,Low
TTEC Digital Tier II III UC Support Engineer [,TTEC Digital,"System, Technical, Support",3,Low
"Deep Fission, Inc Nuclear Engineer III Nuclear Safety Analysis [","Deep Fission, Inc","Support, Growth, Engineer",3,Low
"Deep Fission, Inc Senior Director Nuclear Programs [","Deep Fission, Inc","Director, System, Growth",3,Low
uConnect VP of Product and Partnerships [,uConnect,"Design, SaaS, Students",3,Low
Varicent Technical Solutions Analyst [,Varicent,"Analyst, Design, SaaS",3,Low
Covera Health VP Population Health [,Covera Health,"System, Support, Growth",3,Low
Smartbug Media/Point Sucess/Globalia Freelance SEO AEO Strategist [,Smartbug Media/Point Sucess/Globalia,"Technical, Strategist, Web",3,Low
Emora Health Operations and Support Associate [,Emora Health,"System, Support, Growth",3,Low
GiddyUp Performance Marketing Manager [,GiddyUp,"Manager, Support, Testing",3,Low
Natera Manager Platform Engineering [,Natera,"Manager, Technical, Support",3,Low
EnableComp Vice President DRG [,EnableComp,"Training, Support, Growth",3,Low
Wishpond Technologies CUSTOMER SUCCESS MANAGER [,Wishpond Technologies,"Manager, Design, SaaS",3,Low
Calyxo Academic Engagement Manager USA [,Calyxo,"Manager, Training, Director",3,Low
Brandtech+ Project Manager French English Fluent [,Brandtech+,Manager,1,Low
Careers In Travel | Destination Planners Destination Coordinator [,Careers In Travel | Destination Planners,"Travel, Coordinator, Support",3,Low
Careers In Travel | Destination Planners Travel Support Advisor [,Careers In Travel | Destination Planners,"Travel, Training, Support",3,Low
Careers In Travel | Destination Planners Travel Operations Coordinator [,Careers In Travel | Destination Planners,"Travel, Training, Coordinator",3,Low
Careers In Travel | Destination Planners Travel Appointment Coordinator [,Careers In Travel | Destination Planners,"Travel, Coordinator, Support",3,Low
Careers In Travel | Destination Planners Itinerary Support Coordinator No Experience Needed [,Careers In Travel | Destination Planners,"Travel, Coordinator, Support",3,Low
Unikraft Tooling Engineer [,Unikraft,"Golang, Cloud, Engineer",3,Low
Stellar AI Senior Software Engineer {,Stellar AI,"Developer, Train",2,Low
Precision Medicine Group Senior Marketing Manager CRO Experience Required [,Precision Medicine Group,"Manager, Design, Embedded",3,Low
Aisles & Abroad Online Hospitality Services Coordinator Entry Level [,Aisles & Abroad,"Coordinator, Support",2,Low
Apollo Information Systems Account Executive Southeast [,Apollo Information Systems,"Salesforce, Security, Technical",3,Low
CX2 CNC Machinist Milling [,CX2,"Software, Growth, Assembly",3,Low
LiveKit Staff Product Manager Enterprise [,LiveKit,"Manager, Technical, Developer",3,Low
Boom Entertainment Customer Support Representative [,Boom Entertainment,"Gaming, Consultant, Support",3,Low
CSC Generation Lead Software Engineer [,CSC Generation,"Software, Design, Python",3,Low
BIS Safety Software Marketing Copywriter [,BIS Safety Software,"Developer, Copywriter, SaaS",3,Low
"Clariti Cloud, Inc. Senior Software Engineer I [","Clariti Cloud, Inc.","Software, SaaS, Salesforce",3,Low
Forbright Bank Manager Collections & Recoveries [,Forbright Bank,"Manager, Embedded, Growth",3,Low
CipherHealth Customer Success Manager [,CipherHealth,"Manager, System, Consultant",3,Low
GoFasti 1086 Digital Marketing Specialist [,GoFasti,"Marketing, Part-Time, Non Tech",3,Low
Forge Global Asset Administration Operations Specialist [,Forge Global,"Travel, Financial, Operations",3,Low
Rivia Mind - Mental Healthcare Patient Operations Coordinator [,Rivia Mind - Mental Healthcare,"Coordinator, Management, Operations",3,Low
Careers In Travel | Destination Planners Fully Cruise & Resort Booking Specialist [,Careers In Travel | Destination Planners,"Travel, Training, Support",3,Low
Spotify Engineering Manager AI Fleet Management & Honk [,Spotify,"Manager, Design, System",3,Low
Infiniti Group Entry Level Crypto Market Specialist {,Infiniti Group,"Other, Finance, Analyst",3,Low
VGW Senior Manager Government & Industry Affairs Operations [,VGW,"Manager, Senior, Operations",3,Low
Defense Unicorns People Operations Lead [,Defense Unicorns,"HR, Architect, Support",3,Low
Marketers in Demand Web Development Specialist [,Marketers in Demand,"Web Developer, Developer",2,Low
Greenhouse Principal Marketing Analytics Manager [,Greenhouse,"Manager, Architect, Technical",3,Low
Kiavi Sales Development Representative [,Kiavi,"Security, Fintech, Sales",3,Low
Nava PBC Talent Acquisition Pipeline Manager [,Nava PBC,"Manager, Design, Consultancy",3,Low
Civitech Analytics Engineer [,Civitech,"Python, Support, Code",3,Low
Rivia Mind - Mental Healthcare Mental Health Counselor Therapist Social Worker New York [,Rivia Mind - Mental Healthcare,"Management, Go, Health",3,Low
Pelago Drug & Alcohol Counselor [,Pelago,"Support, Growth, C",3,Low
Akuity Senior Backend Engineer [,Akuity,"SaaS, Developer, Software",3,Low
HighLevel Software Development Engineer Backend [,HighLevel,"Software, SaaS, System",3,Low
Higharc Software Engineer Showroom [,Higharc,"Software, Design, 3d",3,Low
Black Canyon Consulting Junior Mid Full Stack Software Engineer [,Black Canyon Consulting,"Consulting, Software, GraphQL",3,Low
Vistas Recruitment Senior Backend Engineer UK [,Vistas Recruitment,"Golang, Senior, Engineer",3,Low
Monzo Lead Analytics Engineer Borrowing [,Monzo,"Design, Architect, Support",3,Low
Smart Working Solutions Digital Full Stack Engineer HR172 [,Smart Working Solutions,"Design, Jira, System",3,Low
Haast Founding Engineer [,Haast,"Front End, Full-Stack, Technical",3,Low
Paperpile Backend Engineer [,Paperpile,"Ops, JavaScript, Typescript",3,Low
Paperpile Senior Full Stack Engineer [,Paperpile,"Senior, Front End",2,Low
Interra Health Senior Software Engineer [,Interra Health,"Software, Design, SaaS",3,Low
Honor Foods Front End Full Stack Developer [,Honor Foods,"Developer, Front-End, UI",3,Low
Calabrio Engineer Software [,Calabrio,"Software, Design, C#",3,Low
Affirm Software Engineer II Backend [,Affirm,"Software, Design, Python",3,Low
Finalis Software Engineer [,Finalis,"Software, Design, System",3,Low
Pivotal Health Full Stack Product Engineer [,Pivotal Health,"React, System, Front End",3,Low
Envision Horizons LLC Full Stack Developer [,Envision Horizons LLC,"Developer, C#, Amazon",3,Low
Salesforge Senior Backend Engineer Build AI Agents [,Salesforge,"Golang, Senior, Sales",3,Low
CareerVillage.org Frontend Engineer [,CareerVillage.org,"Front End, Technical, Software",3,Low
Foundation EGI Senior CAD Backend Engineer Mechanical CAD Automation [,Foundation EGI,"Design, Python, 3d",3,Low
Mighty Networks Senior Software Engineer Payments & Monetization [,Mighty Networks,"Software, Front End, Full-Stack",3,Low
Insider One Senior Software Engineer Golang [,Insider One,"Software, Design, SaaS",3,Low
Air Apps Backend Engineer Rome [,Air Apps,"Design, GraphQL, Front End",3,Low
Clover Health Operations Associate Payment Integrity [,Clover Health,"Support, Financial, Management",3,Low
Ocrolus Inc. Senior Software Engineer App Infra [,Ocrolus Inc.,"Software, Architect, Technical",3,Low
Yuno Technical Support Analyst [,Yuno,"Analyst, System, Technical",3,Low
Wingspan Software Engineer Payment Operations [,Wingspan,"Software, Growth, Code",3,Low
"Rebuy, Inc. Sr Software Engineer B E [","Rebuy, Inc.","Software, Design, Jira",3,Low
Xsolla Xsolla Senior Full stack Engineer [,Xsolla,"Design, React, System",3,Low
Ternary Staff Software Engineer Full Stack [,Ternary,"Software, Front-End, Technical",3,Low
Coderio Senior Backend Engineer MS050KA [,Coderio,"Serverless, Node. JS, API",3,Low
Vistas Recruitment Senior Backend Engineer UK [,Vistas Recruitment,"Golang, Leader, Senior",3,Low
ClickHouse Senior Backend Engineer HyperDX [,ClickHouse,"Developer, Cloud, Senior",3,Low
Sysdig Senior Software Engineer [,Sysdig,"Software, Design, Security",3,Low
Fullscript Staff Machine Learning Engineer [,Fullscript,"Design, System, Python",3,Low
MoonPay Senior Security Engineer Automation [,MoonPay,"Security, Crypto, System",3,Low
Arbiter AI Senior Backend Engineer Integrations [,Arbiter AI,"Design, System, Python",3,Low
Waymark Principal Data Engineer [,Waymark,"Technical, Health, Healthcare",3,Low
Ubiminds Senior Developer Backend Search CD+E [,Ubiminds,"Developer, Design, HR",3,Low
Callibrity Lead Front End Software Engineer [,Callibrity,"Software, Design, Front-End",3,Low
Zipdev Tech Lead [,Zipdev,"Design, System, Cto",3,Low
Legion SaaS Platform Architect [,Legion,"SaaS, Architect, Design",3,Low
Palantir Technologies Software Engineer New Grad Production Infrastructure [,Palantir Technologies,"Software, Design, Front-End",3,Low
CI&T CI&T 27985 Senior AI Engineer Brazil [,CI&T,"React, System, Technical",3,Low
Pavago Senior Backend Engineer [,Pavago,"Design, C#, SaaS",3,Low
Pulley Frontend Engineer II Core Product [,Pulley,"Front End, Design, Software",3,Low
AutoDS Backend Developer [,AutoDS,"Developer, Back-End, Python",3,Low
Anchorage Digital Member of Technical Staff Financial Infrastructure [,Anchorage Digital,"Crypto, Cryptocurrency, System",3,Low
Zensurance Tech Lead [,Zensurance,"Design, System, Front-End",3,Low
Paperpile Backend Engineer [,Paperpile,"Ops, Backend, Typescript",3,Low
Lemon.io Senior Full stack React Developer {,Lemon.io,"React, Node, Python",3,Low
Smile Digital Health Technical Implementations Lead US [,Smile Digital Health,"System, Security, Python",3,Low
Headway Senior React Native Developer {,Headway,"Engineer, Mobile, React",3,Low
Decile Group Front End Engineer [,Decile Group,"Design, SaaS, Front-End",3,Low
NerdWallet Security Engineer II Canada [,NerdWallet,"Security, Design, Python",3,Low
Creative Chaos Senior Software Engineer React [,Creative Chaos,"React, Software, Design",3,Low
Brave Software Engineer UI [,Brave,"Software, UI, Design",3,Low
CI&T Job 27602 Mid level Developer NodeJS Brazil [,CI&T,"Developer, Node JS, Cloud",3,Low
Bluelight Consulting React Native Developer [,Bluelight Consulting,"React, Consulting, Developer",3,Low
Brillio UI Developer R01560583 [,Brillio,"Developer, UI, Design",3,Low
Swayable Technical Support Engineer [,Swayable,"Python, Technical, Support",3,Low
Bullish US LLC Senior Lead Designer Web & Interactive [,Bullish US LLC,"Web, Design, Jira",3,Low
ClearScore Technology Limited FrontEnd Engineer [,ClearScore Technology Limited,"Front End, React, Teach",3,Low
Equip Health Senior Software Development Engineer DevOps [,Equip Health,"Software, React, System",3,Low
Emma – The Sleep Company Software Engineering Intern [,Emma – The Sleep Company,"Software, Design, Support",3,Low
Jobgether Senior Software Engineer [,Jobgether,"Software, Design, System",3,Low
KOHO Junior Software Developer Full Stack [,KOHO,"Developer, Software, Design",3,Low
Sumo Logic Software Engineer I Dev Tooling [,Sumo Logic,"Software, Design, System",3,Low
"Rebuy, Inc. Overnight Customer Support Engineer [","Rebuy, Inc.","SaaS, Front End, Ceo",3,Low
Gurobi Optimization Software Quality Engineer [,Gurobi Optimization,"Software, React, Front End",3,Low
Tech Innovations Inc. Software Engineer [,Tech Innovations Inc.,"Software, Testing, Cloud",3,Low
XKTalent Inc. - Rimutee FRONTEND ANGULAR SYMFONY [,XKTalent Inc. - Rimutee,"Front End, Web, PHP",3,Low
Filevine Senior Javascript Fullstack Engineer [,Filevine,"Design, System, Technical",3,Low
QuillBot SEO Specialist [,QuillBot,"Design, Students, Technical",3,Low
CI&T Job 25535 Master Fullstack Developer Brazil [,CI&T,"Developer, HTML, Node",3,Low
Coins.ph Web Engineer [,Coins.ph,"Web, Design, Crypto",3,Low
Firework Manager Integration Solutions [,Firework,"Manager, SaaS, Consultant",3,Low
Clair Senior Fullstack Engineer [,Clair,"Embedded, System, Front End",3,Low
Tolt Product Engineer {,Tolt,"Typescript, React, Product",3,Low
NTD software FullStack Engineer [,NTD software,"Developer, Design, React",3,Low
Ibility Integration Test Manager VHA Required [,Ibility,"Test, Manager, Design",3,Low
Lemon.io Senior Full stack React Developer {,Lemon.io,"JavaScript, Node, Python",3,Low
Pivotal Health Full Stack Product Engineer [,Pivotal Health,"System, Front End, Technical",3,Low
